,"species","M(g)","B(W)"
3,"Myoprocta acouchy",914,2.83
4,"Napaeozapus insignis",21.6,0.22
0,"Neotoma albigula",172.4,0.72
1,"Neotoma cinerea",320.9,1.41
2,"Neotoma fuscipes",186.7,0.83
3,"Neotoma lepida",106,0.36
4,"Notiomys macronyx",62,0.47
5,"Notomys alexis",32.3,0.25
6,"Notomys cervinus",34.2,0.23
7,"Ochrotomys nuttalli",19.5,0.15
8,"Ocodon degus",206,1.08
9,"Octodontomys gliroides",152,0.74
10,"Ondatra zibethicus",842,3.89
11,"Onychomys torridus",19.1,0.17
12,"Oryctolagus cuniculus",2350,8.6
13,"Oxymycterus roberti",83.5,0.51
14,"Perognathus californicus",22,0.12
15,"Perognathus hispidus",40,0.28
16,"Perognathus intermedius",14.6,0.09
17,"Perognathus",8.9,0.05
18,"Perognathus parvus",19.2,0.16
19,"Perognathus penicillatus",16,0.13
20,"Perom leucopus",26,0.32
21,"Peromyscus boylii",23.2,0.31
22,"Peromyscus californicus",48,0.25
23,"Peromyscus crinitus",13.6,0.1
24,"Peromyscus eremicus",20.7,0.15
25,"Peromyscus floridanus",30.8,0.29
26,"Peromyscus gossypinus",21.5,0.21
27,"Peromyscus leucopus",22.3,0.19
28,"Peromyscus maniculatus",17,0.17
29,"Peromyscus megalops",66.2,0.51
30,"Peromyscus pirrensis",137.8,0.68
31,"Peromyscus polionotus",12,0.12
32,"Peromyscus sitkensis",28.33,0.26
,"a",110.8,0.7
0,"Peromyscus truei",33,0.26
1,"Phodopus sungorus",33.2,0.3
2,"Pitymys pinetorum",25,0.28
3,"Praomys natalensis",41.49,0.18
4,"Proechimys semispinosus",498,1.77
,"a",79.8,0.47
0,"Rattus meltada",67.4,0.33
1,"Rattus norvegicus",170,0.96
2,"Rattus rattus",117,0.77
3,"Reithrodontomys",9,0.13
4,"Rhabdomys pumilio",39.62,0.18
5,"Sciurus aberti",624,2.42
6,"Sciurus carolinensis",440,2.08
7,"Scotinomys teguina",12,0.18
8,"Scotinomys xerampelinus",15.2,0.18
9,"Sigmodon fulviventer",137.8,1.17
10,"Sigmodon hispidus",152.4,0.71
11,"Sigmodon leucotis",128.6,1.05
12,"Sigmodon ochrognathus",115.1,0.87
13,"Spalacopus cyanus",136,0.57
14,"Spalax ehrenbergi",128,0.62
15,"Spalax leucodon",177.9,0.63
16,"Spermophilus armatus",312.8,0.88
17,"Spermophilus beecheyi",599.6,1.79
18,"Spermophilus beldingi",288.56,0.8
19,"Spermophilus citellus",240,1.28
20,"Spermophilus fraklinii",607,2.19
21,"Spermophilus lateralis",270.16,0.74
22,"Spermophilus leucurus",96,0.54
23,"Spermophilus mohavensis",239.5,0.63
24,"Spermophilus",273.07,0.74
25,"Spermophilus saturatus",261.15,0.8
26,"Spermophilus spilosoma",157.8,0.5
27,"Spermophilus",167.2,0.53
,"a",212.52,0.6
,"a",182.3,0.59
0,"Dobsonia minor",87,0.62
1,"Eonycteris spelaea",52,0.27
2,"Eptesicus fuscus",16.9,0.11
3,"Priodontes maximus",45190,17.05
4,"Tamandua mexicana",4210,4.79
5,"Tamandua tetradactyla",3500,4.99
6,"Tolypeutes matacus",1160,1.18
7,"Lepus californicus",2300,7.38
8,"Ochotona daurica",127.7,1.4
9,"Ochotona princeps",109,0.94
